BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,335.66085400000003
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Disagree a little,383.09897
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,400.87543
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Agree a little,Never,Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,364.903962
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,388.246002
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,456.09068800000006
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,326.48543600000005
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,318.48926200000005
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,About half the lessons,Agree a lot,Agree a lot,424.718694
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,At least once a week,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,371.940462
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,454.03346
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,Once or twice a month,Agree a lot,Disagree a little,Some lessons,Agree a lot,Agree a lot,321.34500799999995
No,None or very few (0–10 books),Disagree a little,Disagree a little,A few times a year,Agree a little,Disagree a little,Every or almost every lesson,Agree a little,Agree a lot,351.028682
Yes,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,400.896426
Yes,None or very few (0–10 books),Disagree a little,Disagree a lot,A few times a year,Agree a little,Disagree a lot,Some lessons,Agree a little,Agree a lot,366.276204
